city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Denpasar,ID,1633808874,-8.65,115.2167,78.46,88,40,8.05
Ribeira Grande,PT,1633809086,38.5167,-28.7,72.0,78,20,18.41
Esqueda,MX,1633809087,30.7167,-109.5833,86.63,20,0,18.45
Natchez,US,1633809089,31.5604,-91.4032,86.25,50,1,6.91
Soe,ID,1633809090,-9.8607,124.284,64.72,77,93,3.24
Hokitika,NZ,1633809091,-42.7167,170.9667,52.05,78,94,2.13
Port-Gentil,GA,1633809093,-0.7193,8.7815,78.76,89,75,11.5
Olinda,BR,1633809094,-8.0089,-34.8553,82.13,65,40,12.66
Mufulira,ZM,1633809095,-12.5498,28.2407,80.64,26,96,7.36
Muisne,EC,1633809097,0.6,-80.0333,80.71,76,88,8.25
Leh,IN,1633809098,34.1667,77.5833,45.63,31,0,2.73
Río Gallegos,AR,1633809096,-51.6226,-69.2181,71.65,20,75,28.77
Zliten,LY,1633809101,32.4674,14.5687,74.37,62,98,13.62
Dikson,RU,1633809103,73.5069,80.5464,30.22,61,100,24.67
Lavrentiya,RU,1633809104,65.5833,-171.0,29.66,81,74,9.8
Beşikdüzü,TR,1633809105,41.052,39.2284,64.29,88,0,5.21
Kamenka,RU,1633809106,51.3223,42.7678,42.31,63,50,6.02
Bredasdorp,ZA,1633808866,-34.5322,20.0403,50.29,84,0,0.83
Kindu,CD,1633808930,-2.95,25.95,69.98,92,97,2.71
Alugan,PH,1633809110,12.2188,125.4808,80.26,79,100,17.69
Tilichiki,RU,1633809112,60.4667,166.1,23.49,79,15,3.62
Ulaangom,MN,1633809114,49.9811,92.0667,33.01,58,0,3.11
Luau,AO,1633809115,-10.7073,22.2247,79.77,24,41,0.83
Vostok,RU,1633809116,46.4856,135.8833,42.6,94,100,5.79
Hofn,IS,1633809118,64.2539,-15.2082,47.97,82,100,4.27
Forbes,AU,1633809119,-33.3833,148.0167,62.92,85,79,2.53
Mahon,ES,1633809120,39.8885,4.2658,63.16,77,0,6.91
Sotuta,MX,1633809122,20.6,-89.0167,97.14,37,74,2.89
Marabá,BR,1633809123,-5.3686,-49.1178,95.18,46,20,3.44
Khāsh,IR,1633809099,28.2211,61.2158,62.53,26,0,5.1
Lagoa,PT,1633809127,39.05,-27.9833,69.57,77,100,19.28
Tarija,BO,1633809128,-21.5355,-64.7296,67.91,73,75,12.66
Altay,CN,1633809129,47.8667,88.1167,33.1,45,17,9.01
Lebu,CL,1633809131,-37.6167,-73.65,57.51,73,0,9.31
Tommot,RU,1633809132,58.9564,126.2925,25.72,95,16,3.09
Sault Ste. Marie,CA,1633809052,46.5168,-84.3333,68.56,90,90,4.61
Amberley,US,1633809134,39.2048,-84.428,82.06,59,20,1.99
Antalaha,MG,1633809136,-14.9003,50.2788,68.43,80,10,8.12
Caála,AO,1633809137,-12.8525,15.5606,72.03,34,51,4.7
Shimoda,JP,1633809138,34.6667,138.95,67.1,88,72,12.59
Vardø,NO,1633808963,70.3705,31.1107,38.93,94,100,7.9
Richards Bay,ZA,1633809141,-28.783,32.0377,68.0,77,99,17.43
Gizo Government Station,SB,1633809142,-8.103,156.8419,80.82,76,90,4.59
Ternate,ID,1633809143,0.8,127.4,81.34,80,100,3.89
Husavik,IS,1633809144,66.0449,-17.3389,40.91,98,100,10.02
Souillac,MU,1633809146,-20.5167,57.5167,73.78,78,75,18.41
Yellowknife,CA,1633808855,62.456,-114.3525,44.42,99,90,6.91
Ahipara,NZ,1633808892,-35.1667,173.1667,56.17,72,98,10.71
Cidreira,BR,1633809149,-30.1811,-50.2056,63.55,86,100,19.19
Arraial do Cabo,BR,1633809150,-22.9661,-42.0278,69.76,68,90,13.8
Manado,ID,1633809152,1.487,124.8455,77.77,88,40,1.14
Coyhaique,CL,1633809153,-45.5752,-72.0662,62.55,42,20,10.36
